"15 Sonyeon Uju Pyoryugi"
"Mighty Mouse in the Great Space Chase"
"Miraesonyeon Kunta Beomyuda 5000 Nyeon"
"Miss Switch to the Rescue"
"Mobile Suit Gundam III: Encounters in Space"
"Old Master Q: Water Tiger Tale"
"Oliver Twist"
"The Plague Dogs"
"Queen Millennia"
"Sarah"
"Schooltime Blues"
"The Secret of NIMH"
"Shalom Pharao"
"Space Pirate Captain Harlock: Arcadia of My Youth"
"Star of the Giants"
"Syupeo Majingga 3"
"Syupeo samchongsa"
"Super Taekwon V"
"Techno Police 21C"
"Time Masters"
"The Treasure Planet"
"Water Spider-Wonder Spider"
"The Wizard of Oz"
"Abra Cadabra"
"Adventures of the Blue Knight"
"Aesop's Fables"
"Barefoot Gen"
"Boi Aruá"
"Boulugres"
"Cheol-in samchongsa"
"Mickey's Christmas Carol"
"Crusher Joe"
"Daffy Duck's Fantastic Island"
"Les Dalton en cavale"
"David & Goliath"
"Dogo Tak taeyang-eul hyanghae deonjyeola"
"Dot and the Bunny"
"Doraemon: Nobita and the Castle of the Undersea Devil"
"The Dragon That Wasn't (Or Was He?)"
"Dr. Slump and Arale-chan: Hoyoyo, Great Round-the-World Race"
"Elpidio Valdés Against Dollar and Cannon"
"Eunhajeonseol Tera"
"Fang of the Sun Dougram"
"Final Yamato"
"Fire and Ice"
"Haejeotamheomdae Marin X"
"Harmagedon"
"Hwanggeumnyeonpilgwa Gaegujangi Oegyesonyeon"
"Hwanggeum-ui pal"
"John the Boaster"
"The Knight of the Red Heart"
"The Legend of Hiawatha"
"Legend of Sealed Book"
"The Little Witch"
"Miyuki"
"No-White"
"Noel's Fantastic Trip"
"Old Master Q and San T"
"The Princess and the Robot"
"The Professional: Golgo 13"
"Patalliro! Star Dust Project"
"Protectors of Universe"
"The Raccoons and the Lost Star"
"Revenge of the Humanoids"
"Rock & Rule"
"Space Champion Hong Gil-dong"
"Straszydła"
"Syupeo Taitan 15"
"Szczęśliwe dni Muminków"
"The Voyages of Gulliver"
"Twice Upon a Time"
"UFO Reul Tagoon Oegyein Wangja"
"Unico: In the Magic Island"
"Urusei Yatsura: Only You"
"The Wind in the Willows"
"Winnie the Pooh and a Day for Eeyore"
"Xabungle Graffiti"
"84 Taekwon V"
"The Adventures of Pinocchio"
"Bagi, the Monster of Mighty Nature"
"Birth"
"The Camel Boy"
"Creamy Mami, the Magic Angel: Forever Once More"
"Delta Space Mission"
"Doraemon: Nobita's Great Adventure into the Underworld"
"Dr. Slump and Arale-chan: Hoyoyo! The Treasure of Nanaba Castle"
"L'Enfant invisible"
"Gallavants"
"Heroic Times"
"John the Fearless"
"Katy"
"Kenya Boy"
"Kinnikuman: Showdown! The 7 Justice Supermen vs. The Space Samurais"
"Kinnikuman: Great Riot! Justice Superman"
"Kinnikuman: Stolen Championship Belt"
"Kkureogi Balmyeongwang"
"Macross: Do You Remember Love?"
"Malá čarodějnice"
"My name is Dokgo Tak"
"Nausicaä of the Valley of the Wind"
"Papa Mama Bye bye"
"Phoenix-bot Phoenix King"
"Rose Petal Place"
"Saffi"
"Samson & Sally"
"The Secret of the Selenites"
"The Soldier's Tale"
"Space Gundam V"
"The Star of Cottonland"
"The Tale of Tsar Saltan"
"Urusei Yatsura 2: Beautiful Dreamer"
"Xiyue qi tong"
"The Adventures of Mark Twain"
"Angel's Egg"
"Asterix Versus Caesar"
"Bigfoot and the Muscle Machines"
"The Black Cauldron"
"The Brave Frog's Greatest Adventure"
"The Care Bears Movie"
"Cosmo Police Justy"
"Creamy Mami, the Magic Angel: Long Goodbye"
"The Dagger of Kamui"
"Dirty Pair: Affair of Nolandia"
"Dokgo Tak dasi chajeun maundeu"
"Doraemon: Nobita's Little Star Wars"
"Dot and the Koala"
"Epic"
"Fire Tripper"
"Gon, the Little Fox"
"GoShogun: The Time Étranger"
"Gu Gu Ganmo"
"Gwen, the Book of Sand"
"He-Man & She-Ra: A Christmas Special"
"Here Come the Littles"
"A Journey Through Fairyland"
"Kalabaza tripontzia"
"Kinnikuman: Hour of Triumph! Justice Superman"
"Kinnikuman: Justice Supermen vs. Ancient Supermen"
"The Legend of the Gold of Babylon"
"The Life & Adventures of Santa Claus"
"Little Memole: Marielle's Jewelbox"
"The Little Vagabond"
"Mach and Sebestova - Come Up to the Blackboard!"
"Magical Princess Minky Momo - La Ronde in my Dream"
"Matthias the Just"
"Megazone 23"
"Micro-Commando Diatron-5"
"Monkey King Conquers the Demon"
"Mujeokcheorin lamboteu"
"Nicholas Nickleby"
"Night on the Galactic Railroad"
"Odin: Photon Sailer Starlight"
"Odyssea"
"Original Dirty Pair: Affair of Nolandia"
"Peter-No-Tail in Americat"
"The Pied Piper of Hamelin"
"Pohádky pod sněhem"
"Rainbow Brite and the Star Stealer"
"Roboteugundangwa Meka3"
"Robot King Sun Shark"
"Sangokushi"
"The Secret of the Sword"
"Starchaser: The Legend of Orin"
"Tajemnice wiklinowej zatoki"
"Tato, nie bój się dentysty"
"Ttoriwa Jeta Roboteu"
"Urusei Yatsura 3: Remember My Love"
"Urusei Yatsura: Ryoko's September Tea Party"
"Vampire Hunter D"
"Vampires in Havana"
"Video Ranger 007"
"We Called Them Montagues and Capulets"
"What's Michael?"
"The Adventures of the American Rabbit"
"Ai City"
"An American Tail"
"Amon Saga"
"Arion"
"Asterix in Britain"
"Barefoot Gen 2"
"Bolek and Lolek in the Wild West"
"Care Bears Movie II: A New Generation"
"Laputa: Castle in the Sky"
"Cat City"
"Cool Cool Bye"
"Coral Reef Legend: Elfie of the Blue Sea"
"The Cosmic Eye"
"Creamy Mami, the Magic Angel: Curtain Call"
"Dirty Pair: Project Eden"
"Dokkaebi bangmang-i"
"Doraemon: Nobita and the Steel Troops"
"Dot and Keeto"
"Dot and the Whale"
"Dragon Ball: Curse of the Blood Rubies"
"Eleven Hungry Cats and an Albatross"
"The Elm-Chanted Forest"
"Fist of the North Star"
"Fluppy Dogs"
"Gaksital"
"Gall Force: Eternal Story"
"GeGeGe no Kitarō: Gekitotsu! I jigen yōkai no dai hanran"
"GeGeGe no Kitarō: Saikyō Yōkai Gundan! Nihon jōriku!!"
"GoBots: War of the Rock Lords"
"The Great Cheese Robbery"
"The Great Heep"
"The Great Mouse Detective"
"Guyver: Out of Control"
"Gréti...!"
"Heathcliff: The Movie"
"Inhumanoids: The Movie"
"Ivanhoe"
"Jiminy Cricket's Christmas"
"Kinnikuman: Crisis in New York!"
"Kinnikuman: Justice Supermen vs. Fighter Supermen"
"Liberty and the Littles"
"Long Live Servatius"
"Love City"
"Maris the Chojo"
"MD Geist"
"Megazone 23 Part II"
"Monica and the Mermaid of the River"
"My Little Pony: The Movie"
"The New Adventures of Monica and Her Friends"
"Opening the Door"
"Phoenix: Karma Chapter"
"Porwanie w Tiutiurlistanie"
"Prefectural Earth Defense Force"
"Project A-ko"
"Ratty"
"Robotech: The Movie"
"Roots Search"
"Salar"
"Sangokushi II: Amakakeru otoko-tachi"
"Skeletor's Revenge"
"Sophie's Place"
"Super Mario Brothers--Plan to Free Princess Peach"
"They Were Eleven"
"The Transformers: The Movie"
"The Trapalhoes in the Tail of the Comet"
"Urusei Yatsura: Lum the Forever"
"Valhalla"
"Violence Jack: Harem Bomber"
"Wanna-Be's"
"Windaria"
"When the Wind Blows"
"Zima w dolinie Muminków"
"The Adventures of Lolo the Penguin"
"The Amazing Adventures of the Musketeers"
"The Amazing Mr. Bickford"
"Las Aventuras de Oliver Twist"
"Barbie and the Rockers: Out of this World"
"Battle Royal High School"
"The Big Bang"
"Black Magic M-66"
"The Brave Little Toaster"
"The Care Bears Adventure in Wonderland"
"The Chipmunk Adventure"
"Crystal Triangle"
"Devilman: The Birth"
"Digital Devil Story: Megami Tensei"
"Dokgo Tak-ui bidulgi habchang"
"Doraemon: Nobita and the Knights on Dinosaurs"
"Dot and the Smugglers"
"Dot Goes to Hollywood"
"Dragon Ball: Sleeping Princess in Devil's Castle"
"Dreaming of Paradise"
"DuckTales: Treasure of the Golden Suns"
"The Emerald City of Oz"
"Footrot Flats: The Dog's Tail Tale"
"G.I. Joe: The Movie"
"God Bless Dancouga"
"The Jetsons Meet the Flintstones"
"Katy, Kiki and Koko"
"Labyrinth Tales"
"Laughing Target"
"Leo and Fred"
"Lily C.A.T."
"The Little Troll Prince"
"The Marvelous Land of Oz"
"Metal Skin Panic MADOX-01"
"My Favourite Time"
"Original Dirty Pair: Project Eden"
"Ozma of Oz"
"El Pequeño Ladronzuelo"
"Pinocchio and the Emperor of the Night"
"Project A-ko 2: Plot of the Daitokuji Financial Group"
"The Puppetoon Movie"
"Robot Carnival"
"Robotix: The Movie"
"Royal Space Force: The Wings of Honneamise"
"Rusinoita"
"Saint Seiya: The Movie"
"Scooby-Doo Meets the Boo Brothers"
"The Snow Queen"
"Top Cat and the Beverly Hills Cats"
"Tteodori Kkachi"
"Twilight of the Cockroaches"
"Ubu et la Grande Gidouille"
"Urusei Yatsura: Inaba the Dreammaker"
"Wicked City"
"The Wind in the Willows"
"The Wonderful Wizard of Oz"
"Yogi's Great Escape"
"Yōtōden"
"Yogi Bear and the Magical Flight of the Spruce Goose"
"Akira"
"Alice"
"Appleseed"
"Battle Royal High School"
"BraveStarr: The Movie"
"The Captain of the Forest"
"Care Bears Nutcracker Suite"
"The Cat Who Walked by Herself"
"Crying Freeman"
"Daffy Duck's Quackbusters"
"David & Sandy"
"Demon City Shinjuku"
"Doraemon: The Record of Nobita's Parallel Visit to the West"
"Dragon Ball: Mystical Adventure"
"Esper Mami: Hoshizora no Dancing Doll"
"Felix the Cat: The Movie"
"Forget-Me-Not"
"Garfield: His 9 Lives"
"The Good, the Bad, and Huckleberry Hound"
"Grave of the Fireflies"
"Happy Birthday, Garfield"
"The Land Before Time"
"Laughter and Grief by the White Sea"
"Legend of the Galactic Heroes: My Conquest is the Sea of Stars"
"Light Years"
"Lovely Fatma"
"Maison Ikkoku: The Final Chapter"
"Maison Ikkoku: Through the Passing of the Seasons"
"Maria, Mirabela in Tranzistoria"
"Mobile Suit Gundam: Char's Counterattack"
"My Neighbor Totoro"
"Oliver & Company"
"One-Pound Gospel"
"Popol Vuh: The Creation Myth of the Maya"
"Pound Puppies and the Legend of Big Paw"
"Project A-ko 3: Cinderella Rhapsody"
"Rockin' with Judy Jetson"
"Saint Seiya: The Heated Battle of the Gods"
"Saint Seiya: Legend of Crimson Youth"
"Scooby-Doo and the Ghoul School"
"Scooby-Doo and the Reluctant Werewolf"
"The Séance Table"
"Stowaways on the Ark"
"Treasure Island"
"Urusei Yatsura: The Final Chapter"
"Violence Jack: Evil Town"
"Ultimate Teacher"
"What's Michael? 2"
"Who Framed Roger Rabbit"
"The Wind in the Willows"
"Yogi and the Invasion of the Space Bears"
"Zillion: Burning Night"
"All Dogs Go to Heaven"
"Aoki Honoo"
"Asterix and the Big Fight"
"Babar: The Movie"
"Back to the Forest"
"Baoh"
"The BFG"
"The Brave Frog"
"The Butter Battle Book"
"City Hunter: .357 Magnum"
"Doraemon: Nobita and the Birth of Japan"
"Dragon and Slippers"
"Dragon Ball Z: Dead Zone"
"El Escudo del cóndor"
"The Five Star Stories"
"The Four Musicians of Bremen"
"The Journey to Melonia: Fantasies of Shakespeare's 'The Tempest'"
"Kiki's Delivery Service"
"Jak ševci zvedli vojnu pro červenou sukni"
"Legend of Lemnear"
"Legend of the Overfiend"
"Like the Clouds, Like the Wind"
"The Little Mermaid"
"Little Nemo: Adventures in Slumberland"
"Megazone 23 Part III"
"Megazone 23 - Final Part"
"Patlabor: The Movie"
"Project A-ko 4: FINAL"
"Reineke Fuchs"
"Riding Bean"
"Riki-Oh: The Walls of Hell"
"Saint Seiya: Warriors of the Final Holy Battle"
"Sonic Soldier Borgman: Last Battle"
"A Tale of Two Toads"
"The Trace Leads to the Silver Lake"
"Venus Wars"
"Willy the Sparrow"
"Wrath of the Ninja"
"The Adventures of Lotty"
"City Hunter: Bay City Wars"
"City Hunter: Million Dollar Conspiracy"
"Desperta Ferro"
"Doraemon: Nobita and the Animal Planet"
"Dragon Ball Z: The World's Strongest"
"Dragon Ball Z: The Tree of Might"
"DuckTales the Movie: Treasure of the Lost Lamp"
"The Flying Sneaker"
"The Fool of the World and the Flying Ship"
"From Tale to Tale"
"The Gold Sword"
"I skog och mark"
"Jetsons: The Movie"
"The Magician's Hat"
"Maroko"
"Meoteoldosawa 108 Yogoe"
"The Mind's Eye: A Computer Animation Odyssey"
"Naksitrallid"
"The Nutcracker Prince"
"Peter in Magicland"
"The Prince and the Pauper"
"Project A-ko: Grey Side/Blue Side"
"The Rescuers Down Under"
"Robot Taekwon V 90"
"TaleSpin: Plunder & Lightning"
"War of the Birds"
"Werner - Beinhart!"
"A Wind Named Amnesia"
"Adventures of the magic globe, or trick of the witch"
"Aeneid"
"An American Tail: Fievel Goes West"
"Beauty and the Beast"
"Charlie Strapp and Froggy Ball Flying High"
"Doraemon: Nobita's Dorabian Nights"
"Dragon Ball Z 4: Super Saiya, Son Goku"
"Dragon Ball Z 5: The Strongest Rivals"
"Darkwing Duck: Darkly Dawns the Duck"
"Filemon i przyjaciele"
"Free Whale Peek"
"Garfield Gets a Life"
"Il Giornalino di Gian Burrasca"
"Hans and the Silver Skates"
"Heukkkokdujanggun"
"The Holiday of the New Year Tree"
"Jang Dok-dae"
"The Legend of Zorro"
"The Little Engine That Could"
"The Magic Riddle"
"Mobile Suit Gundam F91"
"Nadia of the Mysterious Seas"
"Ness and Nessy"
"Only Yesterday"
"Pirates of Dark Water: The Saga Begins"
"The Princess and the Goblin"
"Puss in Boots"
"Ranma 1/2: Big Trouble in Nekonron, China"
"Robin Hood"
"Robinson and Company"
"Rock-a-Doodle"
"Roujin Z"
"Rover Dangerfield"
"Sebastian Star Bear: First Mission"
"To Want to Fly"
"Underwater Berets"
"Urusei Yatsura: Always My Darling"
"A Wish for Wings That Work"
"After School Tinker Bell"
"Aladdin"
"Aladdin"
"Beauty and the Beast"
"Bébé's Kids"
"Beyond the Mind's Eye"
"Blinky Bill"
"Comet in Moominland"
"Cool World"
"Doraemon: Nobita and the Kingdom of Clouds"
"Dragon Ball Z 6: Return of Cooler"
"Dragon Ball Z 7: Super Android 13!"
"Evil Toons"
"Fatal Fury: Legend of the Hungry Wolf"
"FernGully: The Last Rainforest"
"Freddie as F.R.O.7"
"Frosty Returns"
"Kkulbeorui chingu"
"Legend of the Galactic Heroes: Golden Wings"
"The Legend of the North Wind"
"The Little Mermaid"
"The Little Punker"
"The Magic Voyage"
"Midori"
"Mitki-Mayer"
"Mobile Suit Gundam 0083: The Last Blitz of Zeon"
"Pinocchio"
"Porco Rosso"
"Ramayana: The Legend of Prince Rama"
"Run Melos!"
"Sangokushi"
"Sinbad"
"Special Gag Force Robot Twins"
"The Three Musketeers"
"Thumbelina"
"Tiny Toon Adventures: How I Spent My Vacation"
"Tom and Jerry: The Movie"
"The Tune"
"The Weathering Continent"
"Amazon Jack"
"Batman: Mask of the Phantasm"
"The Cat's Mill"
"Coo: Tōi Umi kara Kita Coo"
"Crayon Shin-chan: Action Kamen vs Leotard Devil"
"David Copperfield"
"Doraemon: Nobita and the Tin Labyrinth"
"Dragon Ball Z 8: The Legendary Super Saiyan"
"Dragon Ball Z 9: Bojack Unbound"
"E.Y.E.S. of Mars"
"Fatal Fury 2: The New Battle"
"The Halloween Tree"
"Happily Ever After"
"The History of the Wonderful World"
"Hollyrock-a-Bye Baby"
"I Can Hear the Sea"
"I Yabba-Dabba Do!"
"Jonny's Golden Quest"
"Legend of the Galactic Heroes: Overture to a New War"
"Legend of the Demon Womb"
"Mafalda"
"Mermaid's Scar"
"Les Mille et Une Farces de Pif et Hercule"
"The Nightmare Before Christmas"
"Ninja Scroll"
"Once Upon a Forest"
"Opera Imaginaire"
"Patlabor: The Movie 2"
"Return of the Overfiend"
"Sailor Moon R: The Movie"
"The Secret Adventures of Tom Thumb"
"The Seventh Brother"
"Street Fighter"
"The Thief and the Cobbler"
"We're Back! A Dinosaur's Story"
"The Wrong Trousers"
"Yu Yu Hakusho: The Movie"
"A Troll in Central Park"
"Asterix Conquers America"
"Blue Seagull"
"The Cat's Mill"
"A Christmas Carol"
"Cinderella"
"Crayon Shin-chan: The Secret Treasure of Buri Buri Kingdom"
"Det var en gang"
"Dot in Space"
"Dragon Ball Z 10: Broly – Second Coming"
"Dragon Ball Z 11: Bio-Broly"
"Fatal Fury: The Motion Picture"
"Faust"
"Felidae"
"The Gate to the Mind's Eye"
"Goldilocks and the Three Bears"
"Happy, the Littlest Bunny"
"Harold and the Ghosts"
"The Hero of Two Worlds"
"Krolestwo Zielonej Polany"
"The Land Before Time II: The Great Valley Adventure"
"THE LANDSURVEYR"
"Leo the Lion: King of the Jungle"
"The Lion King"
"Macross Plus: Movie Edition"
"The Magic Flute"
"Noah's Ark"
"The Pagemaster"
"Pochacco's Exciting Birthday"
"Pocahontas"
"Pom Poko"
"El regreso del viento del Norte"
"The Return of Jafar"
"Sailor Moon S: The Movie"
"Samurai Shodown: The Motion Picture"
"Scooby-Doo in Arabian Nights"
"Slam Dunk: Conquer the Nation, Hanamichi Sakuragi!"
"The Story of Christmas"
"Street Fighter II: The Animated Movie"
"Super Kid"
"The Swan Princess"
"Taxandria"
"Thumbelina"
"Yogi the Easter Bear"
"Yu Yu Hakusho: Poltergeist Report"
"The Adventures of Mole"
"Alice in Wonderland"
"Balto"
"Black Beauty"
"Catnapped!"
"Cinderella: Conspiracy at the Emerald Castle"
"Crayon Shin-chan: Unkokusai's Ambition"
"Curly, the Littlest Puppy"
"The Diary of Anne Frank"
"Dol-a-on yeong-ung Hong Gil-dong"
"Doraemon: Nobita's Diary of the Creation of the World"
"Dragon Ball Z 12: Fusion Reborn"
"Dragon Ball Z 13: Wrath of the Dragon"
"Drawn from Memory"
"The Elixir"
"Farewell to Nostradamus"
"Gargoyles the Movie: The Heroes Awaken"
"Ghost in the Shell"
"A Goofy Movie"
"Gumby: The Movie"
"Heidi"
"Hercules"
"The Hungry Best 5"
"The Jungle Book"
"Koushi-den"
"The Land Before Time III: The Time of the Great Giving"
"Legend of Crystania"
"Little Red Riding Hood"
"Magic Gift of the Snowman"
"Memories"
"The Monkeys and the Secret Weapon"
"The Nutcracker"
"The Pebble and the Penguin"
"Pocahontas"
"The Real Shlemiel"
"The Red Falcon"
"Sailor Moon SuperS: The Movie"
"Slam Dunk: Shohoku's Greatest Challenge! Burning Hanamichi Sakuragi"
"Slam Dunk: Howling Basketman Spirit!! Hanamichi and Rukawa's Hot Summer"
"Slayers The Motion Picture"
"Sleeping Beauty"
"The Snow Queen"
"Snow White"
"Lo specchio delle meraviglie"
"The Tale of Tillie's Dragon"
"Toy Story"
"Whisper of the Heart"
"The Wind in the Willows"
"Against the Eagle and the Lion"
"Aladdin and the King of Thieves"
"Alì Babà"
"All Dogs Go to Heaven 2"
"Amazon Jack 2: The Movie Star"
"Armageddon"
"The Ballad of the Viking King, Holger the Dane"
"Beavis and Butt-Head Do America"
"Cassiopéia"
"City Hunter: The Secret Service"
"Crayon Shin-chan: Adventure in Henderland"
"Dead or Alive (Lupin the 3rd)"
"Doraemon: Nobita and the Galaxy Super-express"
"The Five Suns: A Sacred History of Mexico"
"Galaxy Express 999"
"How the Toys Saved Christmas"
"The Hunchback of Notre Dame"
"James and the Giant Peach"
"Kindaichi Case Files"
"Kings and Cabbage"
"The Land Before Time IV: Journey Through the Mists"
"Little Dinosaur Dooly"
"Miki Mol i Straszne Płaszczydło"
"The Nome Prince and the Magic Belt"
"Odyssey Into the Mind's Eye"
"Pepolino and the Treasure of the Mermaid"
"Slayers Return"
"The Snow Queen's Revenge"
"Santa Claus and the magic drum"
"Space Jam"
"Spring and Chaos"
"The Three Little Pigs: The Movie"
"Toto Lost in New York"
"Werner - Eat My Dust!!!"
"X"
"The Adarna Bird"
"Anastasia"
"Anastasia"
"Annabelle's Wish"
"Babes in Toyland"
"Beauty and the Beast: The Enchanted Christmas"
"Benjamin Bluemchen"
"Cats Don't Dance"
"A Chinese Ghost Story: The Tsui Hark Animation"
"A Christmas Carol"
"City Hunter: The Motion Picture"
"Crayon Shin-chan: Pursuit of the Balls of Darkness"
"Detective Conan: The Time-Bombed Skyscraper"
"Dibu: The Movie"
"The Dog of Flanders"
"Doraemon: Nobita and the Spiral City"
"Dragon Ball GT: A Hero's Legacy"
"Elmer's Adventure: My Father's Dragon"
"The End of Evangelion"
"Evangelion: Death and Rebirth"
"The Fearless Four"
"Go to Hell!!"
"Hana Yori Dango: The Movie"
"Hercules"
"I Married a Strange Person!"
"Jiang de Kailaban jue"
"Journey Beneath the Sea"
"Jungle Emperor Leo"
"Katharina & Witt, Fiction and Reality"
"The Little Bastard"
"Królestwo Zielonej Polany. Powrót"
"The Land Before Time V: The Mysterious Island"
"Lapitch the Little Shoemaker"
"Megasónicos"
"Mighty Ducks the Movie: The First Face-Off"
"Mondo Plympton"
"Neznayka on the Moon"
"Perfect Blue"
"The Perfume of the Invisible One"
"Pippi Longstocking"
"Pocahontas and the Spider Woman"
"Pooh's Grand Adventure: The Search for Christopher Robin"
"Princess Mononoke"
"The Quest for the Key to Heaven"
"Slayers Great"
"The Swan Princess II: Escape from Castle Mountain"
"Tiny Heroes"
"Tom and Fluffy"
"The Ugly Duckling"
"Underground Adventure"
"An All Dogs Christmas Carol"
"An American Tail: The Treasure of Manhattan Island"
"Amhed, Prince of Alhambra"
"Ancient Alien"
"The Animated Adventures of Tom Sawyer"
"Antz"
"Batman & Mr. Freeze: SubZero"
"Belle's Magical World"
"A Bug's Life"
"The Brave Little Toaster Goes to Mars"
"Circleen: City Mouse"
"Crayon Shin-chan: Blitzkrieg! Pig's Hoof's Secret Mission"
"Detective Conan: The Fourteenth Target"
"Dibu 2: The Revenge of Nasty"
"Doraemon: Nobita's South Sea Adventure"
"FernGully 2: The Magical Rescue"
"General Chaos: Uncensored Animation"
"Grandma and Her Ghosts"
"Greatest Heroes and Legends of the Bible: Daniel and the Lion's Den"
"Greatest Heroes and Legends of the Bible: David and Goliath"
"Greatest Heroes and Legends of the Bible: The Garden of Eden"
"Greatest Heroes and Legends of the Bible: Jonah and the Whale"
"Greatest Heroes and Legends of the Bible: The Last Supper, Crucifixion and Resurrection"
"Greatest Heroes and Legends of the Bible: The Miracles of Jesus"
"Greatest Heroes and Legends of the Bible: Samson and Delilah"
"Greatest Heroes and Legends of the Bible: The Story of Moses"
"Gurin with the Foxtail"
"H.C. Andersen's The Long Shadow"
"Hercules: Zero to Hero"
"Hercules and Xena – The Animated Movie: The Battle for Mount Olympus"
"Kirikou and the Sorceress"
"The Land Before Time VI: The Secret of Saurus Rock"
"The Legend of Su-Ling"
"The Lion King II: Simba's Pride"
"Lucky and Zorba"
"Luminous Visions"
"The Magic Forest"
"The Magic Pipe"
"The Mighty Kong"
"Mulan"
"Pocahontas II: Journey to a New World"
"Pokémon: The First Movie"
"The Prince of Egypt"
"Quest for Camelot"
"Reise um die Erde in 80 Tagen"
"Rudolph the Red-Nosed Reindeer: The Movie"
"The Rugrats Movie"
"Scooby-Doo on Zombie Island"
"The Secret of NIMH 2: Timmy to the Rescue"
"Silant Legend"
"Slayers Gorgeous"
"Socialisation of a Bull"
"The Swan Princess: The Mystery of the Enchanted Kingdom"
"Visitor"
"What Neighbours are Animals!"
"Le Voyage de la Souris"
"A.Li.Ce"
"Alvin and the Chipmunks Meet Frankenstein"
"Anne Frank's Diary"
"Babar: King of the Elephants"
"Bartok the Magnificent"
"Batman Beyond: The Movie"
"The Brave Little Toaster to the Rescue"
"Captain Bluebear: The Film"
"Cardcaptor Sakura: The Movie"
"Carnivale"
"Cartoon Noir"
"City Hunter: Death of the Vicious Criminal Ryo Saeba"
"Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle"
"Detective Conan: The Last Wizard of the Century"
"Donkey Kong Country: The Legend of the Crystal Coconut"
"Doraemon: Nobita Drifts in the Universe"
"Doug's 1st Movie"
"Faeries"
"Fantasia 2000"
"Goomer"
"The Iron Giant"
"Jin-Roh: The Wolf Brigade"
"Kindaichi Case Files"
"The King and I"
"Kochi-kame the Movie"
"The Legend of the Titanic"
"Lotus Lantern"
"Madeline: Lost in Paris"
"Manuelita"
"Marco the Movie - 3000 Leagues in Search of Mother"
"Mickey's Once Upon a Christmas"
"Millionaire Dogs"
"Mishy and Mushy"
"A Monkey's Tale"
"My Neighbors the Yamadas"
"The Nuttiest Nutcracker"
"Our Friend, Martin"
"Olive, the Other Reindeer"
"Pettson and Findus"
"Pippi i Söderhavet"
"Puss in Boots"
"Die Reise zum Mond"
"Revolutionary Girl Utena: Adolescence of Utena"
